Date,Open,High,Low,Close,Adj Close,Volume
2017-11-11,0.074644,0.081936,0.074328,0.078261,0.078261,145377173.0
2017-11-12,0.077447,0.078832,0.065263,0.067637,0.067637,214308634.0
2017-11-13,0.068183,0.079276,0.066426,0.079244,0.079244,162349496.0
2017-11-14,0.078565,0.081071,0.074006,0.077453,0.077453,173986236.0
2017-11-15,0.07777,0.088193,0.077083,0.087366,0.087366,185350147.0
2017-11-16,0.087965,0.092942,0.084053,0.090772,0.090772,223488323.0
2017-11-17,0.090182,0.091046,0.082847,0.085371,0.085371,181214075.0
2017-11-18,0.085034,0.090012,0.081523,0.089252,0.089252,107153383.0
2017-11-19,0.088105,0.092407,0.087143,0.089469,0.089469,93076117.0
2017-11-20,0.089352,0.092965,0.08762,0.090714,0.090714,139391829.0
2017-11-21,0.091811,0.093843,0.084653,0.09011,0.09011,197701704.0
2017-11-22,0.090895,0.133159,0.089072,0.118258,0.118258,1222261079.0
2017-11-23,0.118015,0.145046,0.118015,0.122063,0.122063,1686596208.0
2017-11-24,0.125266,0.127672,0.115624,0.123399,0.123399,619924033.0
2017-11-25,0.124339,0.133976,0.121375,0.133976,0.133976,351218243.0
2017-11-26,0.134035,0.137908,0.121568,0.131048,0.131048,496046708.0
2017-11-27,0.129308,0.131643,0.122108,0.128171,0.128171,398813346.0
2017-11-28,0.128387,0.152148,0.125659,0.152148,0.152148,535649576.0
2017-11-29,0.150236,0.165977,0.128246,0.133876,0.133876,712817820.0
2017-11-30,0.131777,0.146122,0.121856,0.134064,0.134064,317208715.0
2017-12-01,0.132236,0.144249,0.127071,0.13857,0.13857,339200676.0
2017-12-02,0.136873,0.142706,0.130144,0.138607,0.138607,321142392.0
2017-12-03,0.134962,0.150975,0.133578,0.14341,0.14341,306528296.0
2017-12-04,0.142325,0.159299,0.140491,0.158573,0.158573,405991246.0
2017-12-05,0.159261,0.172338,0.156164,0.159555,0.159555,564505227.0
2017-12-06,0.160526,0.17179,0.157435,0.17179,0.17179,583774379.0
2017-12-07,0.166553,0.184514,0.162412,0.175612,0.175612,1017420408.0
2017-12-08,0.176246,0.183744,0.149911,0.179167,0.179167,760591272.0
2017-12-09,0.17868,0.183495,0.156365,0.16871,0.16871,423215249.0
2017-12-10,0.168089,0.176799,0.148702,0.164184,0.164184,361993892.0
2017-12-11,0.165262,0.186247,0.163361,0.180029,0.180029,451552959.0
2017-12-12,0.179813,0.217705,0.17176,0.212771,0.212771,1238321840.0
2017-12-13,0.212906,0.250339,0.207221,0.22305,0.22305,2007675505.0
2017-12-14,0.222315,0.239147,0.22007,0.238602,0.238602,1507007446.0
2017-12-15,0.23612,0.244036,0.223072,0.241027,0.241027,1220136266.0
2017-12-16,0.241361,0.400493,0.233068,0.380146,0.380146,8736136197.0
2017-12-17,0.379086,0.488696,0.357916,0.383383,0.383383,6369660004.0
2017-12-18,0.380471,0.43737,0.36021,0.412978,0.412978,2834994960.0
2017-12-19,0.410978,0.429059,0.350707,0.362905,0.362905,2490629085.0
2017-12-20,0.359927,0.453077,0.313316,0.427057,0.427057,4347940200.0
2017-12-21,0.431664,0.561311,0.422022,0.475247,0.475247,10187447540.0
2017-12-22,0.472801,0.488088,0.303574,0.387499,0.387499,4077046539.0
2017-12-23,0.392676,0.516925,0.391078,0.464662,0.464662,4489860087.0
2017-12-24,0.466117,0.57277,0.382409,0.54936,0.54936,9202526182.0
2017-12-25,0.553593,0.68675,0.549329,0.571659,0.571659,11394355578.0
2017-12-26,0.571955,0.615963,0.523498,0.602709,0.602709,7968305080.0
2017-12-27,0.598277,0.616147,0.545811,0.568788,0.568788,4079030805.0
2017-12-28,0.567759,0.567759,0.494409,0.543683,0.543683,3280480105.0
2017-12-29,0.545433,0.604911,0.520562,0.599421,0.599421,3987772867.0
2017-12-30,0.597749,0.602915,0.471597,0.501733,0.501733,3585669399.0
2017-12-31,0.498051,0.591988,0.489482,0.572657,0.572657,3973826012.0
2018-01-01,0.576442,0.578517,0.515825,0.56726,0.56726,3223031107.0
2018-01-02,0.564966,0.609017,0.544763,0.580256,0.580256,5673958891.0
2018-01-03,0.576641,0.608396,0.563571,0.5918,0.5918,4213218650.0
2018-01-04,0.593454,0.636251,0.55606,0.611378,0.611378,6909167470.0
2018-01-05,0.612406,0.777889,0.607882,0.770542,0.770542,13450215897.0
2018-01-06,0.774304,0.999841,0.774304,0.941267,0.941267,17967797103.0
2018-01-07,0.929222,1.188913,0.92318,1.082164,1.082164,18250692720.0
2018-01-08,1.083868,1.118333,0.873815,0.954906,0.954906,14922685580.0
2018-01-09,0.956588,0.988061,0.828619,0.854391,0.854391,7337709575.0
2018-01-10,0.862922,0.863329,0.73148,0.833556,0.833556,6377459660.0
2018-01-11,0.828313,0.836807,0.700886,0.730365,0.730365,3994136960.0
2018-01-12,0.731008,0.848468,0.710981,0.830368,0.830368,3623374680.0
2018-01-13,0.830425,0.868312,0.793626,0.828288,0.828288,3554642160.0
2018-01-14,0.830451,0.838706,0.721466,0.743134,0.743134,4191176400.0
2018-01-15,0.739706,0.749119,0.625463,0.626019,0.626019,3986236905.0
2018-01-16,0.626418,0.626418,0.363044,0.436686,0.436686,4359029792.0
2018-01-17,0.436009,0.494478,0.351408,0.488549,0.488549,3759095256.0
2018-01-18,0.488076,0.557495,0.459196,0.508896,0.508896,3614431298.0
2018-01-19,0.502716,0.538331,0.475362,0.502302,0.502302,1936024374.0
2018-01-20,0.507828,0.55195,0.507828,0.539126,0.539126,1466207062.0
2018-01-21,0.538492,0.538492,0.445631,0.45511,0.45511,1463590442.0
2018-01-22,0.459413,0.484991,0.403575,0.43014,0.43014,1275594168.0
2018-01-23,0.429462,0.449449,0.397139,0.425426,0.425426,1140022125.0
2018-01-24,0.423422,0.459648,0.412136,0.450842,0.450842,1110686135.0
2018-01-25,0.455407,0.493021,0.45342,0.486908,0.486908,1354630194.0
2018-01-26,0.489181,0.506921,0.431513,0.460038,0.460038,1244211111.0
2018-01-27,0.460234,0.479639,0.455667,0.468684,0.468684,742046253.0
2018-01-28,0.470981,0.488303,0.466402,0.474522,0.474522,894474399.0
2018-01-29,0.470511,0.478164,0.436432,0.443028,0.443028,831318429.0
2018-01-30,0.443137,0.444633,0.378414,0.383588,0.383588,1009703712.0
2018-01-31,0.382114,0.395237,0.366256,0.381889,0.381889,937513638.0
2018-02-01,0.382602,0.386989,0.30651,0.321715,0.321715,1199354339.0
2018-02-02,0.321294,0.321294,0.211998,0.286916,0.286916,1918066444.0
2018-02-03,0.288621,0.35236,0.266699,0.331123,0.331123,1155320572.0
2018-02-04,0.332277,0.340943,0.267764,0.282064,0.282064,831097792.0
2018-02-05,0.281922,0.286597,0.21624,0.226584,0.226584,800945222.0
2018-02-06,0.22729,0.28394,0.195193,0.279955,0.279955,1228730220.0
2018-02-07,0.276966,0.308374,0.252299,0.276164,0.276164,834873727.0
2018-02-08,0.273983,0.313055,0.273983,0.293556,0.293556,608355697.0
2018-02-09,0.293151,0.322406,0.27766,0.32171,0.32171,719971034.0
2018-02-10,0.320524,0.350051,0.305256,0.321022,0.321022,1075591082.0
2018-02-11,0.319665,0.333444,0.29632,0.318893,0.318893,727672532.0
2018-02-12,0.31941,0.354015,0.31941,0.351692,0.351692,714958761.0
2018-02-13,0.351856,0.364872,0.338758,0.362267,0.362267,909259722.0
2018-02-14,0.361813,0.435008,0.361813,0.431379,0.431379,2597603703.0
2018-02-15,0.430532,0.508097,0.430361,0.46942,0.46942,2764839750.0
2018-02-16,0.466107,0.478192,0.417628,0.451844,0.451844,1705822536.0
2018-02-17,0.453786,0.470383,0.440215,0.452855,0.452855,1177718344.0
2018-02-18,0.457006,0.458947,0.406646,0.412709,0.412709,982325960.0
2018-02-19,0.411769,0.44571,0.40737,0.430194,0.430194,836353408.0
2018-02-20,0.429067,0.537318,0.41107,0.460075,0.460075,6998028350.0
2018-02-21,0.459598,0.479367,0.411413,0.426445,0.426445,2385488880.0
2018-02-22,0.425585,0.446908,0.395589,0.406632,0.406632,1323146535.0
2018-02-23,0.406255,0.450004,0.39228,0.430118,0.430118,1254565350.0
2018-02-24,0.431304,0.446307,0.396648,0.409182,0.409182,1014968310.0
2018-02-25,0.408993,0.414785,0.387974,0.397411,0.397411,760794360.0
2018-02-26,0.399109,0.42102,0.386295,0.410508,0.410508,781562536.0
2018-02-27,0.41205,0.426621,0.406623,0.408356,0.408356,792025329.0
2018-02-28,0.406987,0.420008,0.391592,0.392391,0.392391,862439520.0
2018-03-01,0.393941,0.412163,0.387415,0.405341,0.405341,1012110048.0
2018-03-02,0.402681,0.406475,0.355201,0.357459,0.357459,1467101101.0
2018-03-03,0.35824,0.375349,0.337839,0.345665,0.345665,1404949450.0
2018-03-04,0.341341,0.35877,0.336737,0.35877,0.35877,791225535.0
2018-03-05,0.356164,0.360041,0.335301,0.339244,0.339244,886073054.0
2018-03-06,0.333049,0.333933,0.295806,0.299179,0.299179,958297976.0
2018-03-07,0.299696,0.305291,0.260188,0.261052,0.261052,1140771385.0
2018-03-08,0.260447,0.287548,0.252884,0.262022,0.262022,1009010940.0
2018-03-09,0.260807,0.26997,0.235448,0.26997,0.26997,887220928.0
2018-03-10,0.269402,0.285168,0.257228,0.258708,0.258708,643420765.0
2018-03-11,0.257828,0.28129,0.250252,0.274127,0.274127,602453773.0
2018-03-12,0.273938,0.278244,0.249198,0.261971,0.261971,493945470.0
2018-03-13,0.261203,0.274593,0.251583,0.256819,0.256819,389525416.0
2018-03-14,0.256449,0.260536,0.221881,0.228434,0.228434,488322250.0
2018-03-15,0.228273,0.235158,0.212132,0.229762,0.229762,605401765.0
2018-03-16,0.230154,0.23747,0.223586,0.22811,0.22811,416334008.0
2018-03-17,0.227744,0.230672,0.211145,0.214349,0.214349,404897528.0
2018-03-18,0.213156,0.213156,0.181277,0.207301,0.207301,586744058.0
2018-03-19,0.207859,0.228514,0.204279,0.224324,0.224324,539867721.0
2018-03-20,0.22602,0.243004,0.220852,0.238144,0.238144,433000654.0
2018-03-21,0.238187,0.249961,0.235011,0.23843,0.23843,437362387.0
2018-03-22,0.238908,0.242679,0.22413,0.229681,0.229681,339202248.0
2018-03-23,0.22997,0.231305,0.217101,0.231305,0.231305,401480879.0
2018-03-24,0.233745,0.242166,0.228105,0.233294,0.233294,289890076.0
2018-03-25,0.230657,0.23236,0.225017,0.227768,0.227768,225892573.0
2018-03-26,0.227291,0.229743,0.203576,0.213217,0.213217,392938192.0
2018-03-27,0.212319,0.212778,0.201444,0.204229,0.204229,339980382.0
2018-03-28,0.203543,0.211457,0.202204,0.204612,0.204612,320031133.0
2018-03-29,0.206568,0.207009,0.179547,0.184041,0.184041,366605111.0
2018-03-30,0.183055,0.188159,0.172379,0.179904,0.179904,350190228.0
2018-03-31,0.179151,0.188603,0.175734,0.18357,0.18357,228211201.0
2018-04-01,0.183502,0.186806,0.168974,0.177013,0.177013,219669420.0
2018-04-02,0.177823,0.183202,0.176054,0.182155,0.182155,327814080.0
2018-04-03,0.181952,0.194502,0.18103,0.193642,0.193642,430109019.0
2018-04-04,0.193822,0.195387,0.176744,0.180179,0.180179,346679460.0
2018-04-05,0.181129,0.18142,0.172297,0.176056,0.176056,313315252.0
2018-04-06,0.176143,0.177577,0.169927,0.173337,0.173337,184910987.0
2018-04-07,0.174111,0.185976,0.17324,0.181886,0.181886,196981562.0
2018-04-08,0.180889,0.188726,0.180889,0.184551,0.184551,239112046.0
2018-04-09,0.185362,0.190293,0.176911,0.179439,0.179439,313529887.0
2018-04-10,0.179194,0.199536,0.17794,0.197585,0.197585,663173774.0
2018-04-11,0.197333,0.228317,0.195689,0.221633,0.221633,1650455562.0
2018-04-12,0.220166,0.247944,0.212662,0.247944,0.247944,905936256.0
2018-04-13,0.246877,0.280207,0.244606,0.260666,0.260666,1184313600.0
2018-04-14,0.258243,0.275253,0.256059,0.270819,0.270819,886479975.0
2018-04-15,0.269815,0.301088,0.269815,0.298271,0.298271,774354375.0
2018-04-16,0.299353,0.32101,0.287335,0.300103,0.300103,1457964396.0
2018-04-17,0.300325,0.319637,0.295573,0.311508,0.311508,1125550965.0
2018-04-18,0.309461,0.359309,0.309178,0.355627,0.355627,1427234342.0
2018-04-19,0.354609,0.383559,0.350058,0.383559,0.383559,1779043250.0
2018-04-20,0.384254,0.392398,0.376821,0.390093,0.390093,1529928340.0
2018-04-21,0.389117,0.389699,0.343825,0.358357,0.358357,1655470020.0
2018-04-22,0.360276,0.382156,0.35269,0.366665,0.366665,1221846780.0
2018-04-23,0.367109,0.379609,0.358668,0.364646,0.364646,2233495476.0
2018-04-24,0.365106,0.392267,0.364671,0.38513,0.38513,2432696800.0
2018-04-25,0.390339,0.392997,0.331321,0.340781,0.340781,2560645700.0
2018-04-26,0.343137,0.379186,0.327572,0.375858,0.375858,2762761160.0
2018-04-27,0.372924,0.383118,0.352765,0.361128,0.361128,2595778378.0
2018-04-28,0.357291,0.374477,0.35399,0.356846,0.356846,2392404726.0
2018-04-29,0.364361,0.370217,0.347864,0.363629,0.363629,2523439918.0
2018-04-30,0.360028,0.368646,0.341313,0.346233,0.346233,2419564110.0
2018-05-01,0.350313,0.350313,0.325541,0.343586,0.343586,778604425.0
2018-05-02,0.341589,0.361088,0.336708,0.351596,0.351596,3331226112.0
2018-05-03,0.355697,0.376857,0.347518,0.376028,0.376028,3365323434.0
2018-05-04,0.368812,0.370284,0.347792,0.351991,0.351991,964348902.0
2018-05-05,0.351873,0.357224,0.335784,0.346106,0.346106,2026734798.0
2018-05-06,0.347548,0.351373,0.315689,0.332016,0.332016,2234587389.0
2018-05-07,0.331773,0.336895,0.310713,0.323394,0.323394,1738096395.0
2018-05-08,0.324451,0.35953,0.32129,0.356155,0.356155,2730732316.0
2018-05-09,0.354151,0.35753,0.313581,0.342958,0.342958,2260253093.0
2018-05-10,0.324913,0.356111,0.304648,0.327452,0.327452,2345230340.0
2018-05-11,0.33862,0.33862,0.269162,0.293927,0.293927,1858804892.0
2018-05-12,0.29987,0.314597,0.264001,0.301466,0.301466,1849815066.0
2018-05-13,0.290233,0.311465,0.267225,0.291714,0.291714,1335905665.0
2018-05-14,0.30321,0.307201,0.284343,0.30127,0.30127,837599735.0
2018-05-15,0.300144,0.325897,0.298428,0.307339,0.307339,1434704583.0
2018-05-16,0.304566,0.309738,0.289952,0.297195,0.297195,651380165.0
2018-05-17,0.296051,0.303592,0.282762,0.283798,0.283798,1173196640.0
2018-05-18,0.270778,0.297221,0.254423,0.273102,0.273102,926091670.0
2018-05-19,0.286669,0.301048,0.272268,0.291365,0.291365,1020278089.0
2018-05-20,0.288953,0.304302,0.265615,0.30068,0.30068,1081634552.0
2018-05-21,0.298935,0.301051,0.268755,0.290893,0.290893,1256935995.0
2018-05-22,0.286864,0.291557,0.259986,0.261911,0.261911,694089657.0
2018-05-23,0.262387,0.29153,0.234817,0.245277,0.245277,1017757521.0
2018-05-24,0.245245,0.253659,0.221907,0.238854,0.238854,714013252.0
2018-05-25,0.237155,0.244466,0.230372,0.238016,0.238016,718859128.0
2018-05-26,0.240473,0.241745,0.234278,0.234521,0.234521,430333392.0
2018-05-27,0.234621,0.235679,0.230361,0.231899,0.231899,236707545.0
2018-05-28,0.232543,0.233464,0.216863,0.217387,0.217387,505651206.0
2018-05-29,0.217416,0.233768,0.215279,0.233103,0.233103,627057827.0
2018-05-30,0.23382,0.237436,0.224056,0.226129,0.226129,503291451.0
2018-05-31,0.231211,0.236571,0.223696,0.229098,0.229098,604830214.0
2018-06-01,0.231072,0.232578,0.223851,0.229321,0.229321,364209892.0
2018-06-02,0.228989,0.240117,0.227733,0.238344,0.238344,396479645.0
2018-06-03,0.239572,0.251221,0.237465,0.247213,0.247213,1311007698.0
2018-06-04,0.247262,0.251872,0.235625,0.23687,0.23687,1486197132.0
2018-06-05,0.237237,0.249825,0.236185,0.245142,0.245142,1262613673.0
2018-06-06,0.245223,0.254131,0.238958,0.253073,0.253073,1421721371.0
2018-06-07,0.250484,0.257216,0.247769,0.251561,0.251561,411923635.0
2018-06-08,0.252492,0.25506,0.24523,0.247031,0.247031,467315373.0
2018-06-09,0.247006,0.250573,0.242624,0.242624,0.242624,315514883.0
2018-06-10,0.242736,0.242736,0.212784,0.214875,0.214875,502317066.0
2018-06-11,0.214718,0.219078,0.209451,0.218197,0.218197,326654736.0
2018-06-12,0.218416,0.220577,0.207481,0.208444,0.208444,335033618.0
2018-06-13,0.208604,0.210216,0.18791,0.190529,0.190529,749106236.0
2018-06-14,0.190442,0.204135,0.190163,0.199252,0.199252,667993478.0
2018-06-15,0.199856,0.202779,0.193105,0.197427,0.197427,825207708.0
